"Position holder";"Name of the issuer";"ISIN";"Net short position";"Position date"
"JPMorgan Asset Management (UK) Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.70";"2024-09-18 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.88";"2024-09-18 00:00:00"
"Lazard Asset Management LLC";"Pharming Group N.V.";"NL0010391025";"0.51";"2024-09-17 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.91";"2024-09-16 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.27";"2024-09-12 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.88";"2024-09-11 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.72";"2024-09-09 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.80";"2024-09-02 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.51";"2024-08-30 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.61";"2024-08-28 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.71";"2024-08-23 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.67";"2024-08-22 00:00:00"
"Canada Pension Plan Investment Board";"BE Semiconductor Industries N.V.";"NL0012866412";"0.50";"2024-08-20 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.98";"2024-08-19 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.53";"2024-08-19 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.00";"2024-08-16 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.59";"2024-08-15 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.48";"2024-08-14 00:00:00"
"Wellington Management International Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.71";"2024-08-14 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.39";"2024-08-13 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.99";"2024-08-13 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.69";"2024-08-13 00:00:00"
"Highbridge Capital Management LLC";"Pharming Group N.V.";"NL0010391025";"1.15";"2024-08-12 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.00";"2024-08-12 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.31";"2024-08-12 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.60";"2024-08-09 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.70";"2024-08-09 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.67";"2024-08-08 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.93";"2024-08-08 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.73";"2024-08-08 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.20";"2024-08-08 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.12";"2024-08-07 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.03";"2024-08-06 00:00:00"
