"Position date","Change Position Date",Issuer,ISIN,"Position holder","Net short position"
11/06/2020,12/06/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,22"
11/06/2020,12/06/2020,BARCO,BE0974362940,"SCGE Management, L.P.","0,79"
11/06/2020,12/06/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,54"
10/06/2020,11/06/2020,BARCO,BE0974362940,"SCGE Management, L.P.","0,97"
10/06/2020,16/06/2020,MELEXIS,BE0165385973,"Odey Asset Management LLP","0,97"
09/06/2020,30/07/2020,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,00"
08/06/2020,10/06/2020,BARCO,BE0974362940,"SCGE Management, L.P.","1,27"
05/06/2020,22/06/2020,UMICORE,BE0974320526,"AQR CAPITAL MANAGEMENT, LLC","0,79"
05/06/2020,25/06/2020,"CELYAD ONCOLOGY",BE0974260896,"ARMISTICE CAPITAL, LLC","1,78"
05/06/2020,09/06/2020,EURONAV,BE0003816338,"Capital Fund Management SA","0,50"
05/06/2020,11/06/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,11"
04/06/2020,05/06/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,05"
04/06/2020,22/06/2020,SOLVAY,BE0003470755,"MARSHALL WACE LLP","0,58"
04/06/2020,09/06/2020,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","0,90"
03/06/2020,04/06/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","0,94"
29/05/2020,03/06/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","0,74"
29/05/2020,04/06/2020,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","0,80"
28/05/2020,05/06/2020,"CELYAD ONCOLOGY",BE0974260896,"ARMISTICE CAPITAL, LLC","1,88"
28/05/2020,29/05/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","0,59"
26/05/2020,29/05/2020,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","0,70"
20/05/2020,04/06/2020,SOLVAY,BE0003470755,"MARSHALL WACE LLP","0,60"
20/05/2020,26/05/2020,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","0,61"
19/05/2020,20/05/2020,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","0,56"
18/05/2020,05/06/2020,UMICORE,BE0974320526,"AQR CAPITAL MANAGEMENT, LLC","0,89"
