"Position date","Change Position Date",Issuer,ISIN,"Position holder","Net short position"
08/12/2021,04/01/2022,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,09"
07/12/2021,15/12/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,72"
03/12/2021,08/12/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,16"
01/12/2021,08/12/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,73"
30/11/2021,24/12/2021,"ELIA GROUP",BE0003822393,"MILLENNIUM CAPITAL PARTNERS LLP","0,52"
26/11/2021,29/12/2021,BPOST,BE0974268972,"Voleon Capital Management LP","0,60"
26/11/2021,03/12/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,26"
25/11/2021,15/12/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,50"
24/11/2021,07/12/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,80"
23/11/2021,26/11/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,37"
18/11/2021,28/02/2022,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","1,78"
18/11/2021,24/11/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,72"
17/11/2021,26/11/2021,BPOST,BE0974268972,"Voleon Capital Management LP","0,50"
16/11/2021,01/12/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,60"
15/11/2021,08/03/2022,EKOPAK,BE0974380124,"ENNISMORE FUND MANAGEMENT LIMITED","0,50"
15/11/2021,26/11/2021,SOLVAY,BE0003470755,"MARSHALL WACE LLP","0,58"
12/11/2021,08/12/2021,UMICORE,BE0974320526,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","0,71"
11/11/2021,23/11/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,40"
11/11/2021,16/11/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,59"
11/11/2021,12/11/2021,UMICORE,BE0974320526,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","0,69"
08/11/2021,11/11/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,31"
05/11/2021,18/11/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,61"
05/11/2021,11/11/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,66"
03/11/2021,08/11/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,20"
01/11/2021,02/11/2021,BPOST,BE0974268972,"Voleon Capital Management LP","0,50"
22/10/2021,05/11/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,57"
21/10/2021,05/11/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,58"
21/10/2021,09/11/2021,UMICORE,BE0974320526,"CITADEL EUROPE LLP","0,63"
21/10/2021,22/10/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,60"
19/10/2021,21/10/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,56"
18/10/2021,03/11/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,19"
18/10/2021,21/10/2021,UMICORE,BE0974320526,"CITADEL EUROPE LLP","0,59"
18/10/2021,11/11/2021,UMICORE,BE0974320526,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","0,61"
18/10/2021,15/11/2021,SOLVAY,BE0003470755,"MARSHALL WACE LLP","0,60"
18/10/2021,21/10/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,68"
15/10/2021,19/10/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,68"
12/10/2021,18/10/2021,UMICORE,BE0974320526,"CITADEL EUROPE LLP","0,69"
11/10/2021,15/10/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,74"
11/10/2021,18/10/2021,"CELYAD ONCOLOGY",BE0974260896,"ARMISTICE CAPITAL, LLC","0,65"
11/10/2021,18/10/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,24"
08/10/2021,11/10/2021,"CELYAD ONCOLOGY",BE0974260896,"ARMISTICE CAPITAL, LLC","0,73"
08/10/2021,11/10/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,18"
08/10/2021,21/10/2021,"ELIA GROUP",BE0003822393,"MILLENNIUM CAPITAL PARTNERS LLP","0,50"
06/10/2021,08/10/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,20"
05/10/2021,12/10/2021,UMICORE,BE0974320526,"CITADEL EUROPE LLP","0,71"
05/10/2021,01/03/2022,KINEPOLIS,BE0974274061,"FOSSE CAPITAL PARTNERS LLP","0,53"
01/10/2021,11/10/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,84"
30/09/2021,05/10/2021,UMICORE,BE0974320526,"CITADEL EUROPE LLP","0,67"
30/09/2021,01/10/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,91"
29/09/2021,30/09/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,89"
29/09/2021,18/10/2021,UMICORE,BE0974320526,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","0,50"
24/09/2021,01/10/2021,COFINIMMO,BE0003593044,"Syquant Capital","1,56"
23/09/2021,28/09/2021,UMICORE,BE0974320526,"CITADEL EUROPE LLP","0,57"
23/09/2021,06/10/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,14"
22/09/2021,18/10/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,78"
21/09/2021,18/10/2021,SOLVAY,BE0003470755,"MARSHALL WACE LLP","0,59"
21/09/2021,03/01/2022,"MITHRA PHARMACEUTICALS",BE0974283153,"CITADEL EUROPE LLP","0,50"
20/09/2021,23/09/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,00"
20/09/2021,22/09/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,81"
17/09/2021,21/09/2021,SOLVAY,BE0003470755,"MARSHALL WACE LLP","0,61"
16/09/2021,29/09/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,90"
15/09/2021,23/09/2021,UMICORE,BE0974320526,"CITADEL EUROPE LLP","0,65"
14/09/2021,20/09/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,99"
13/09/2021,16/09/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,87"
13/09/2021,17/09/2021,SOLVAY,BE0003470755,"MARSHALL WACE LLP","0,59"
13/09/2021,20/09/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,71"
13/09/2021,14/09/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,01"
10/09/2021,13/09/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,99"
10/09/2021,30/09/2021,COFINIMMO,BE0003593044,"BNP Paribas (Suisse) SA","0,57"
08/09/2021,13/09/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,61"
06/09/2021,13/09/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,98"
03/09/2021,06/09/2021,PROXIMUS,BE0003810273,"CITADEL EUROPE LLP","0,70"
01/09/2021,10/09/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,09"
01/09/2021,10/09/2021,COFINIMMO,BE0003593044,"BNP Paribas (Suisse) SA","0,91"
31/08/2021,06/09/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","1,01"
26/08/2021,03/09/2021,PROXIMUS,BE0003810273,"CITADEL EUROPE LLP","0,51"
26/08/2021,24/09/2021,COFINIMMO,BE0003593044,"Syquant Capital","1,80"
25/08/2021,26/08/2021,COFINIMMO,BE0003593044,"Syquant Capital","1,69"
25/08/2021,08/09/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,59"
23/08/2021,15/09/2021,UMICORE,BE0974320526,"CITADEL EUROPE LLP","0,68"
23/08/2021,25/08/2021,COFINIMMO,BE0003593044,"Syquant Capital","1,53"
20/08/2021,01/09/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,11"
18/08/2021,25/08/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,69"
17/08/2021,23/08/2021,UMICORE,BE0974320526,"CITADEL EUROPE LLP","0,70"
17/08/2021,20/08/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,03"
17/08/2021,31/08/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,94"
16/08/2021,25/08/2021,EURONAV,BE0003816338,"Voleon Capital Management LP","0,51"
13/08/2021,17/08/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,87"
12/08/2021,23/08/2021,COFINIMMO,BE0003593044,"Syquant Capital","1,45"
12/08/2021,13/08/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,73"
11/08/2021,12/08/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","0,51"
11/08/2021,13/09/2021,SOLVAY,BE0003470755,"MARSHALL WACE LLP","0,67"
11/08/2021,12/08/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,69"
10/08/2021,14/02/2022,PROXIMUS,BE0003810273,"CANADA PENSION PLAN INVESTMENT BOARD","0,51"
09/08/2021,12/08/2021,COFINIMMO,BE0003593044,"Syquant Capital","1,31"
09/08/2021,11/08/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,70"
09/08/2021,17/08/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,91"
06/08/2021,09/08/2021,COFINIMMO,BE0003593044,"Syquant Capital","1,25"
05/08/2021,09/08/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,67"
03/08/2021,06/08/2021,COFINIMMO,BE0003593044,"Syquant Capital","1,13"
03/08/2021,09/08/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,80"
03/08/2021,01/09/2021,COFINIMMO,BE0003593044,"BNP Paribas (Suisse) SA","0,83"
03/08/2021,11/08/2021,SOLVAY,BE0003470755,"MARSHALL WACE LLP","0,70"
02/08/2021,08/10/2021,"CELYAD ONCOLOGY",BE0974260896,"ARMISTICE CAPITAL, LLC","1,49"
02/08/2021,03/08/2021,COFINIMMO,BE0003593044,"BNP Paribas (Suisse) SA","0,70"
02/08/2021,18/08/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,79"
30/07/2021,05/08/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,51"
30/07/2021,02/08/2021,COFINIMMO,BE0003593044,"BNP Paribas (Suisse) SA","0,65"
30/07/2021,03/08/2021,COFINIMMO,BE0003593044,"Syquant Capital","1,06"
29/07/2021,17/08/2021,UMICORE,BE0974320526,"CITADEL EUROPE LLP","0,61"
28/07/2021,30/07/2021,COFINIMMO,BE0003593044,"Syquant Capital","0,94"
26/07/2021,28/07/2021,COFINIMMO,BE0003593044,"Syquant Capital","0,81"
20/07/2021,26/07/2021,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,58"
19/07/2021,03/08/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,74"
16/07/2021,19/07/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,80"
16/07/2021,29/07/2021,UMICORE,BE0974320526,"CITADEL EUROPE LLP","0,50"
14/07/2021,16/07/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,86"
14/07/2021,26/07/2021,COFINIMMO,BE0003593044,"Syquant Capital","0,71"
13/07/2021,03/11/2023,EURONAV,BE0003816338,"MILLENNIUM CAPITAL PARTNERS LLP","0,73"
13/07/2021,14/07/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,50"
12/07/2021,14/07/2021,COFINIMMO,BE0003593044,"Syquant Capital","0,68"
08/07/2021,12/07/2021,COFINIMMO,BE0003593044,"Syquant Capital","0,56"
08/07/2021,14/07/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,98"
06/07/2021,09/07/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,55"
02/07/2021,06/07/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,64"
01/07/2021,02/08/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,61"
01/07/2021,02/07/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,71"
29/06/2021,08/07/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,00"
28/06/2021,01/07/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,51"
25/06/2021,01/07/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,68"
22/06/2021,11/08/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","0,69"
18/06/2021,25/06/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,79"
18/06/2021,25/06/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,54"
18/06/2021,03/08/2021,SOLVAY,BE0003470755,"MARSHALL WACE LLP","0,54"
15/06/2021,18/06/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,81"
11/06/2021,29/06/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,99"
