State,DisclaimerId,PositionHolder,ISIN,Issuer,PositionDate,ShareRate
Active,329871000201412221533560003,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2014.December21.23:00:00,1.61
Active,329871000201412171419470001,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2014.December16.23:00:00,1.58
Active,329871000201412161352360001,OdeyAssetManagementLLP,HU0000061726,OTPBankrészvény,2014.December15.23:00:00,0.62
Active,329871000201412161329320001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2014.December15.23:00:00,0.6
Active,329871000201412121305160002,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2014.December11.23:00:00,0.59
Active,329871000201412111050520002,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2014.December10.23:00:00,0.6
Active,329871000201412021501200001,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2014.December1.23:00:00,1.4
Active,329871000201412021240190001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2014.December1.23:00:00,0.52
Active,329871000201410151356200001,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2014.October14.22:00:00,1.39
Active,329871000201410081326480002,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2014.October7.22:00:00,1.44
Active,329871000201410011427590001,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2014.September30.22:00:00,1.37
Active,329871000201409291357160001,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2014.September28.22:00:00,1.11
Active,329871000201408141551370002,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2014.August13.22:00:00,1.08
Active,329871000201408131523310002,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2014.August12.22:00:00,1.12
Active,329871000201408081623010001,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2014.August7.22:00:00,1.29
Active,329871000201408051638510002,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2014.August4.22:00:00,1.32
Active,329871000201407031553210003,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2014.July2.22:00:00,0.0
Active,329871000201407021541000001,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2014.July1.22:00:00,1.48
Active,329871000201406251437050001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2014.June24.22:00:00,1.43
Active,329871000201406201437330002,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2014.June19.22:00:00,1.33
Active,329871000201406191528440002,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2014.June18.22:00:00,1.6
Active,329871000201405201728060001,"SamlynCapital,LLC",HU0000061726,OTPBankrészvény,2014.May19.22:00:00,0.4
Active,329871000201404301946300001,"SamlynCapital,LLC",HU0000061726,OTPBankrészvény,2014.April29.22:00:00,0.59
Active,329871000201404091244020001,MarshallWaceAsiaLimited,HU0000061726,OTPBankrészvény,2014.April8.22:00:00,0.47
Active,329871000201404081756140002,"SamlynCapital,LLC",HU0000061726,OTPBankrészvény,2014.April7.22:00:00,0.61
Active,329871000201404081415530001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2014.April7.22:00:00,1.59
Active,329871000201404011529400002,"SamlynCapital,LLC",HU0000061726,OTPBankrészvény,2014.March31.22:00:00,0.56
Active,329871000201403281241040001,MarshallWaceAsiaLimited,HU0000061726,OTPBankrészvény,2014.March27.23:00:00,0.58
Active,329871000201403191701450001,"SamlynCapital,LLC",HU0000061726,OTPBankrészvény,2014.March18.23:00:00,0.61
Active,329871000201403191341170001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2014.March18.23:00:00,0.44
Active,329871000201403182249000001,SteadfastCapitalManagementLP,HU0000061726,OTPBankrészvény,2014.March17.23:00:00,0.48
Active,329871000201403121407270001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2014.March11.23:00:00,1.66
Active,329871000201403111619180001,"SamlynCapital,LLC",HU0000061726,OTPBankrészvény,2014.March10.23:00:00,0.57
Active,329871000201403051405410002,"SamlynCapital,LLC",HU0000061726,OTPBankrészvény,2014.March4.23:00:00,0.61
Active,329871000201403041203170001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2014.March3.23:00:00,0.52
Active,329871000201403041409570001,"SamlynCapital,LLC",HU0000061726,OTPBankrészvény,2014.March3.23:00:00,0.59
Active,329871000201403041207490001,MarshallWaceAsiaLimited,HU0000061726,OTPBankrészvény,2014.March3.23:00:00,0.62
Active,329871000201403050049280001,SteadfastCapitalManagementLP,HU0000061726,OTPBankrészvény,2014.March3.23:00:00,0.57
Active,329871000201403040015470001,SteadfastCapitalManagementLP,HU0000061726,OTPBankrészvény,2014.March2.23:00:00,0.62
Active,329871000201402211021270002,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2014.February20.23:00:00,1.09
Active,329871000201402192358290001,SteadfastCapitalManagementLP,HU0000061726,OTPBankrészvény,2014.February18.23:00:00,0.8
Active,329871000201402171226260001,MarshallWaceLLP,HU0000073507,MagyarTelekomrészvény,2014.February16.23:00:00,0.41
Active,329871000201402061434460001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2014.February5.23:00:00,1.7
Active,329871000201402050008270001,SteadfastCapitalManagementLP,HU0000061726,OTPBankrészvény,2014.February3.23:00:00,0.74
Active,329871000201402031507300001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2014.February2.23:00:00,1.64
Active,329871000201401301134530004,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2014.January29.23:00:00,1.14
Active,329871000201401301447160001,SteadfastCapitalManagementLP,HU0000061726,OTPBankrészvény,2014.January29.23:00:00,0.6
Active,329871000201401272309480001,SteadfastCapitalManagementLP,HU0000061726,OTPBankrészvény,2014.January26.23:00:00,0.54
Active,329871000201401271108550001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2014.January26.23:00:00,1.08
Active,329871000201401101213140001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2014.January9.23:00:00,0.91
Active,329871000201401071442490001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2014.January6.23:00:00,1.51
Active,329871000201312201402390003,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.December19.23:00:00,0.84
Active,329871000201312181020370001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.December17.23:00:00,0.7
Active,329871000201312181019310001,MarshallWaceLLP,HU0000073507,MagyarTelekomrészvény,2013.December17.23:00:00,0.5
Active,329871000201312031326340001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.December2.23:00:00,0.6
Active,329871000201310311248530002,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.October30.23:00:00,0.59
Active,329871000201310211311460001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.October20.22:00:00,0.68
Active,329871000201310151125270001,"ZBIEquities,L.L.C.",HU0000061726,OTPBankrészvény,2013.October14.22:00:00,0.47
Active,329871000201309271159090001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.September26.22:00:00,0.79
Active,329871000201309261405270001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2013.September25.22:00:00,1.49
Active,329871000201309241447350001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2013.September23.22:00:00,1.54
Active,329871000201309231339130002,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.September22.22:00:00,0.8
Active,329871000201309131423580004,"WellingtonManagementCompany,LLP",HU0000078175,FHBrészvény,2013.September12.22:00:00,0.46
Active,329871000201309101324370002,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.September9.22:00:00,0.79
Active,329871000201309091145430002,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.September8.22:00:00,0.8
Active,329871000201309061314080001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.September5.22:00:00,0.79
Active,329871000201308231041060001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.August22.22:00:00,0.82
Active,329871000201308191034010001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.August18.22:00:00,0.75
Active,329871000201308121336160002,"ZBIEquities,L.L.C.",HU0000061726,OTPBankrészvény,2013.August11.22:00:00,0.58
Active,329871000201308081420520004,"WellingtonManagementCompany,LLP",HU0000078175,FHBrészvény,2013.August7.22:00:00,0.59
Active,329871000201307221427250003,LonePineCapitalLLC,HU0000061726,OTPBankrészvény,2013.July21.22:00:00,0.64
Active,329871000201307192315200001,SteadfastCapitalManagementLP,HU0000061726,OTPBankrészvény,2013.July18.22:00:00,0.41
Active,329871000201307081256450001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2013.July7.22:00:00,1.61
Active,329871000201307020032070001,SteadfastCapitalManagementLP,HU0000061726,OTPBankrészvény,2013.June30.22:00:00,0.51
Active,329871000201306141219080001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2013.June13.22:00:00,1.56
Active,329871000201306031319090001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.June2.22:00:00,0.63
Active,329871000201304051143320002,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2013.April4.22:00:00,0.5
Active,329871000201303271457040001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2013.March26.23:00:00,1.4
Active,329871000201303051429300001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2013.March4.23:00:00,1.3
Active,329871000201302131340560001,LindenAdvisorsLP,HU0000068952,MOLrészvény,2013.February12.23:00:00,0.64
Active,329871000201302071001240001,"ZBIEquities,L.L.C.",HU0000061726,OTPBankrészvény,2013.February6.23:00:00,0.68
Active,329871000201301100959390001,"MortonHoldings,Inc",HU0000061726,OTPBankrészvény,2013.January9.23:00:00,0.68
Active,329871000201212201525020001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2012.December19.23:00:00,1.2
Active,329871000201212191007010001,ErsteBefektetésiZrt.,HU0000069950,Synergonrészvény,2012.December18.23:00:00,0.0
Active,329871000201212181529270001,ErsteBefektetésiZrt.,HU0000069950,Synergonrészvény,2012.December17.23:00:00,0.67
Active,329871000201212071455270002,"WellingtonManagementCompany,LLP",HU0000078175,FHBrészvény,2012.December6.23:00:00,0.66
Active,329871000201212071402530002,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2012.December6.23:00:00,1.17
Active,329871000201212051313250001,LindenAdvisorsLP,HU0000061726,OTPBankrészvény,2012.December4.23:00:00,0.65
Active,329871000201211291110420003,LindenAdvisorsLP,HU0000061726,OTPBankrészvény,2012.November28.23:00:00,0.7
Active,329871000201211231149200001,LansdownePartnersLimited,HU0000061726,OTPBankrészvény,2012.November22.23:00:00,1.22
Active,329871000201211061134290001,LindenAdvisorsLP,HU0000061726,OTPBankrészvény,2012.November5.23:00:00,0.95
Active,329871000201211061131430003,LindenAdvisorsLP,HU0000068952,MOLrészvény,2012.November5.23:00:00,0.75
Active,329871000201211061429280003,"MortonHoldings,Inc",HU0000061726,OTPBankrészvény,2012.November5.23:00:00,0.73
