"Innehavare av positionen 
(Position holder)","Namn på emittent 
(Name of the issuer)",ISIN,Position i procent (Position in per cent),"Datum för positionen 
(Position date)",Kommentar (Comment)
 Millennium Capital Partners LLP ,Billerud Aktiebolag (publ),SE0000862997,"0,6",2022-05-31,
Citadel Advisors LLC,Boozt AB,SE0009888738,"<0,5",2022-05-31,
AHL Partners LLP,Sinch AB (publ),SE0016101844,"0,68",2022-05-31,
LMR Partners LLP,Millicom International Cellular S.A.,SE0001174970,"0,5",2022-05-31,
Kintbury Capital LLP,Securitas AB,SE0000163594,"0,68",2022-05-31,
Kintbury Capital LLP,Aktiebolaget Electrolux,SE0016589188,"0,65",2022-05-31,
Mirabella Financial Services LLP,Securitas AB,SE0000163594,"0,7",2022-05-30,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,11",2022-05-30,
Capital Fund Management SA,BHG Group AB,SE0010948588,"0,61",2022-05-30,
Marshall Wace LLP,Hexatronic Group AB,SE0002367797,"1,41",2022-05-30,
Marshall Wace LLP,BHG Group AB,SE0010948588,"1,25",2022-05-30,
WORLDQUANT LLC,EOLUS VIND AB,SE0007075056,"0,5",2022-05-30,
Qube Research & Technologies Limited,Betsson AB,SE0017767742,"0,6",2022-05-30,
WORLDQUANT LLC,CATENA MEDIA P.L.C,MT0001000109,"0,62",2022-05-30,
BlackRock Investment Management (UK) Limited,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,52",2022-05-30,
Segantii Capital Management (UK) Limited,Millicom International Cellular S.A.,SE0001174970,"0,61",2022-05-30,
 Millennium Capital Partners LLP ,Billerud Aktiebolag (publ),SE0000862997,"0,59",2022-05-30,
Voleon Capital Management LP,Betsson AB,SE0015672282,"0,88",2022-05-30,
Citadel Advisors LLC,Securitas AB,SE0000163594,"0,6",2022-05-30,
Citadel Advisors LLC,Avanza Bank Holding AB,SE0012454072,"0,61",2022-05-30,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,56",2022-05-30,
Sandbar Asset Management LLP,Billerud Aktiebolag (publ),SE0000862997,"0,59",2022-05-30,
Sandbar Asset Management LLP,Aktiebolaget SKF,SE0000108227,"1,08",2022-05-30,
Kintbury Capital LLP,Aktiebolaget Electrolux,SE0016589188,"0,79",2022-05-30,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,09",2022-05-27,
GREENVALE CAPITAL LLP,Aktiebolaget Electrolux,SE0016589188,"0,91",2022-05-27,
THUNDERBIRD PARTNERS LLP,Thule Group AB,SE0006422390,"0,87",2022-05-27,
NNS Investments (Cyprus) Limited,SSAB AB,SE0000120669,"0,52",2022-05-27,
Marshall Wace LLP,Securitas AB,SE0000163594,"0,68",2022-05-27,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"0,91",2022-05-27,
Marshall Wace LLP,Avanza Bank Holding AB,SE0012454072,"0,51",2022-05-27,
Marshall Wace LLP,Boozt AB,SE0009888738,"0,69",2022-05-27,
Qube Research & Technologies Limited,Betsson AB,SE0017767767,"0,58",2022-05-27,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Tobii AB,SE0002591420,"0,7",2022-05-27,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Hansa Biopharma AB,SE0002148817,"0,6",2022-05-27,
 Millennium Capital Partners LLP ,Aktiebolaget SKF,SE0000108227,"0,82",2022-05-27,
 Millennium Capital Partners LLP ,Billerud Aktiebolag (publ),SE0000862997,"0,6",2022-05-27,
Gemsstock Limited ,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,53",2022-05-27,
BlackRock Investment Management (UK) Limited,H & M Hennes & Mauritz AB,SE0000106270,"<0,5",2022-05-27,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,64",2022-05-27,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,64",2022-05-27,
Sandbar Asset Management LLP,Billerud Aktiebolag (publ),SE0000862997,"0,75",2022-05-27,
Citadel Advisors LLC,Securitas AB,SE0000163594,"0,58",2022-05-27,
Gladstone Capital Management LLP,Sinch AB (publ),SE0016101844,"0,72",2022-05-27,
AKO Capital LLP,Aktiebolaget Electrolux,SE0016589188,"1,33",2022-05-27,
AKO Capital LLP,Dometic Group AB (publ),SE0007691613,"1,06",2022-05-27,
Astaris Capital Management LLP,SAS AB,SE0003366871,"0,9",2022-05-27,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,1",2022-05-26,
ALCUR FONDER AB,JM AB,SE0000806994,"<0,5",2022-05-25,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Tobii AB,SE0002591420,"0,62",2022-05-25,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget SKF,SE0000108227,"0,83",2022-05-25,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Hansa Biopharma AB,SE0002148817,"0,53",2022-05-25,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Alfa Laval AB,SE0000695876,"0,61",2022-05-25,
 Millennium Capital Partners LLP ,Aktiebolaget SKF,SE0000108227,"0,9",2022-05-25,
AHL Partners LLP,Stillfront Group AB (publ),SE0015346135,"0,89",2022-05-25,
Marshall Wace LLP,Aktiebolaget SKF,SE0000108227,"0,61",2022-05-25,
Marshall Wace LLP,Embracer Group AB,SE0016828511,"0,6",2022-05-25,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"0,89",2022-05-25,
Voleon Capital Management LP,Mips AB,SE0009216278,"0,58",2022-05-25,
Naya Capital Management UK Limited,Thule Group AB,SE0006422390,"0,7",2022-05-25,
Voleon Capital Management LP,Betsson AB,SE0015672282,"1,79",2022-05-25,
Kuvari Partners LLP,Storskogen Group AB (publ),SE0016797732,"0,92",2022-05-25,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,71",2022-05-25,
Citadel Advisors LLC,Securitas AB,SE0000163594,"0,61",2022-05-25,
Arrowstreet Capital Limited Partnership,Sinch AB (publ),SE0016101844,"0,9",2022-05-25,
AHL Partners LLP,Hexatronic Group AB,SE0002367797,"0,6",2022-05-24,
Marshall Wace LLP,Trelleborg AB,SE0000114837,"0,88",2022-05-24,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"0,93",2022-05-24,
ALCUR FONDER AB,Kinnevik AB,SE0015810247,"0,73",2022-05-24,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Tobii AB,SE0002591420,"0,54",2022-05-24,
Voleon Capital Management LP,Loomis AB,SE0014504817,"<0,5",2022-05-24,
Qube Research & Technologies Limited,Betsson AB,SE0017767742,"0,73",2022-05-24,
 Millennium Capital Partners LLP ,Aktiebolaget SKF,SE0000108227,"0,83",2022-05-24,
BlackRock Investment Management (UK) Limited,Sinch AB (publ),SE0016101844,"<0,5",2022-05-24,
Voleon Capital Management LP,Betsson AB,SE0015672282,"1,82",2022-05-24,
Hound Partners LLC,Thule Group AB,SE0006422390,"0,9",2022-05-24,
Sandbar Asset Management LLP,"AUTOLIV, INC.",SE0000382335,"1,24",2022-05-24,
Sandbar Asset Management LLP,Aktiebolaget SKF,SE0000108227,"1,15",2022-05-24,
Citadel Advisors Europe Limited,Aktiebolaget Electrolux,SE0016589188,"0,91",2022-05-24,
Citadel Advisors LLC,Avanza Bank Holding AB,SE0012454072,"0,59",2022-05-24,
AKO Capital LLP,Mips AB,SE0009216278,"1,1",2022-05-24,
Kintbury Capital LLP,Thule Group AB,SE0006422390,"0,84",2022-05-24,
Kintbury Capital LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,77",2022-05-24,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Alfa Laval AB,SE0000695876,"0,51",2022-05-23,
Marshall Wace LLP,Trelleborg AB,SE0000114837,"0,91",2022-05-23,
Ennismore Fund Management Ltd,Truecaller AB,SE0016787071,"0,56",2022-05-23,
BlackRock Investment Management (UK) Limited,Sinch AB (publ),SE0016101844,"0,55",2022-05-23,
Voleon Capital Management LP,Betsson AB,SE0015672282,"0,84",2022-05-23,
Hound Partners LLC,Thule Group AB,SE0006422390,"0,81",2022-05-23,
Sandbar Asset Management LLP,Dometic Group AB (publ),SE0007691613,"0,52",2022-05-23,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,62",2022-05-23,
AKO Capital LLP,Mips AB,SE0009216278,"1,01",2022-05-23,
Marshall Wace LLP,Securitas AB,SE0000163594,"0,77",2022-05-20,
Marshall Wace LLP,Embracer Group AB,SE0016828511,"0,57",2022-05-20,
Capital Fund Management SA,BICO Group AB,SE0013647385,"<0,5",2022-05-20,
Marshall Wace LLP,Elekta AB (publ),SE0000163628,"0,81",2022-05-20,
GSA Capital Partners LLP,CATENA MEDIA P.L.C,MT0001000109,"<0,5",2022-05-20,
 Millennium Capital Partners LLP ,Aktiebolaget SKF,SE0000108227,"0,74",2022-05-20,
BlackRock Investment Management (UK) Limited,Aktiebolaget Electrolux,SE0016589188,1,2022-05-20,
BlackRock Investment Management (UK) Limited,Sinch AB (publ),SE0016101844,"0,72",2022-05-20,
ALCUR FONDER AB,JM AB,SE0000806994,"0,54",2022-05-20,
Hound Partners LLC,Thule Group AB,SE0006422390,"0,72",2022-05-20,
Citadel Advisors Europe Limited,Avanza Bank Holding AB,SE0012454072,"0,91",2022-05-20,
AKO Capital LLP,Mips AB,SE0009216278,"0,94",2022-05-20,
Citadel Advisors LLC,Securitas AB,SE0000163594,"0,56",2022-05-20,
Arrowstreet Capital Limited Partnership,BICO Group AB,SE0013647385,"<0,5",2022-05-20,
Tenzing Global Management LLC,Mips AB,SE0009216278,"1,02",2022-05-20,
Naya Capital Management UK Limited,Thule Group AB,SE0006422390,"0,61",2022-05-20,
Capital Fund Management SA,VNV Global AB (publ),SE0014428835,"0,5",2022-05-19,
Capital Fund Management SA,BICO Group AB,SE0013647385,"0,53",2022-05-19,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,6",2022-05-19,
Marshall Wace LLP,Embracer Group AB,SE0016828511,"0,6",2022-05-19,
Marshall Wace LLP,Boozt AB,SE0009888738,"0,71",2022-05-19,
GSA Capital Partners LLP,CATENA MEDIA P.L.C,MT0001000109,"0,51",2022-05-19,
Fosse Capital Partners LLP,Securitas AB,SE0000163594,"0,59",2022-05-19,
Qube Research & Technologies Limited,KINDRED GROUP PLC,SE0007871645,"<0,5",2022-05-19,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget SKF,SE0000108227,"0,7",2022-05-19,
 Millennium Capital Partners LLP ,Aktiebolaget SKF,SE0000108227,"0,81",2022-05-19,
 Millennium Capital Partners LLP ,Billerud Aktiebolag (publ),SE0000862997,"0,59",2022-05-19,
BlackRock Investment Management (UK) Limited,Aktiebolaget Electrolux,SE0016589188,"1,12",2022-05-19,
Citadel Advisors LLC,Avanza Bank Holding AB,SE0012454072,"0,61",2022-05-19,
Pantechnicon Advisors LLP,Dometic Group AB (publ),SE0007691613,"0,5",2022-05-19,
AKO Capital LLP,Mips AB,SE0009216278,"0,89",2022-05-19,
Arrowstreet Capital Limited Partnership,Stillfront Group AB (publ),SE0015346135,"<0,5",2022-05-19,
Kintbury Capital LLP,Thule Group AB,SE0006422390,"0,67",2022-05-19,
PSquared Asset Management AG,BICO Group AB,SE0013647385,"0,66",2022-05-19,
Abdi Moazami,Elekta AB (publ),SE0000163628,"<0,5",2022-05-19,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,1,2022-05-18,
GREENVALE CAPITAL LLP,Aktiebolaget Electrolux,SE0016589188,"0,81",2022-05-18,
Capital Fund Management SA,BHG Group AB,SE0010948588,"0,53",2022-05-18,
Marshall Wace LLP,Embracer Group AB,SE0016828511,"0,59",2022-05-18,
Marshall Wace LLP,Elekta AB (publ),SE0000163628,"0,74",2022-05-18,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"1,04",2022-05-18,
Marshall Wace LLP,BHG Group AB,SE0010948588,"1,31",2022-05-18,
Marble Bar Asset Management LLP,Mips AB,SE0009216278,"0,64",2022-05-18,
WORLDQUANT LLC,Aktiebolaget Electrolux,SE0016589188,"<0,5",2022-05-18,
Voleon Capital Management LP,CATENA MEDIA P.L.C,MT0001000109,"1,03",2022-05-18,
Voleon Capital Management LP,G5 Entertainment AB (publ),SE0001824004,"0,6",2022-05-18,
Citadel Advisors Europe Limited,H & M Hennes & Mauritz AB,SE0000106270,"0,59",2022-05-18,
Citadel Advisors LLC,Avanza Bank Holding AB,SE0012454072,"0,59",2022-05-18,
Citadel Advisors LLC,Tobii AB,SE0002591420,"<0,5",2022-05-18,
Citadel Advisors LLC,Boozt AB,SE0009888738,"0,5",2022-05-18,
Gladstone Capital Management LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,6",2022-05-18,
Abdi Moazami,Elekta AB (publ),SE0000163628,"0,6",2022-05-18,
Acadian Asset Management LLC,Re:NewCell AB,SE0014960431,"0,56",2022-05-17,
Capital Fund Management SA,BICO Group AB,SE0013647385,"0,67",2022-05-17,
Marshall Wace LLP,Aktiebolaget SKF,SE0000108227,"0,5",2022-05-17,
Marshall Wace LLP,Husqvarna AB,SE0001662230,"0,68",2022-05-17,
 Millennium Capital Partners LLP ,Aktiebolaget SKF,SE0000108227,"0,73",2022-05-17,
 Millennium Capital Partners LLP ,Billerud Aktiebolag (publ),SE0000862997,"0,61",2022-05-17,
Voleon Capital Management LP,Inwido AB (publ),SE0006220018,"<0,5",2022-05-17,
Sandbar Asset Management LLP,Aktiebolaget SKF,SE0000108227,"1,06",2022-05-17,
Carmignac Gestion,Thule Group AB,SE0006422390,"<0,5",2022-05-17,
Arrowstreet Capital Limited Partnership,Sinch AB (publ),SE0016101844,"0,84",2022-05-17,
Kintbury Capital LLP,Thule Group AB,SE0006422390,"0,58",2022-05-17,
PSquared Asset Management AG,BICO Group AB,SE0013647385,"0,71",2022-05-17,
Mirabella Financial Services LLP,Securitas AB,SE0000163594,"0,69",2022-05-16,
 Millennium Capital Partners LLP ,Aktiebolaget SKF,SE0000108227,"0,6",2022-05-16,
Marshall Wace LLP,Modern Times Group MTG AB,SE0000412371,"0,8",2022-05-16,
Marshall Wace LLP,Hexatronic Group AB,SE0002367797,"1,39",2022-05-16,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"1,15",2022-05-16,
Sandbar Asset Management LLP,Husqvarna AB,SE0001662230,"0,5",2022-05-16,
Astaris Capital Management LLP,SAS AB,SE0003366871,"0,8",2022-05-16,
PSquared Asset Management AG,BICO Group AB,SE0013647385,"0,87",2022-05-16,
Mirabella Financial Services LLP,Securitas AB,SE0000163594,"0,7",2022-05-13,
Marshall Wace LLP,Skanska AB,SE0000113250,"<0,5",2022-05-13,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,58",2022-05-13,
Marshall Wace LLP,Elekta AB (publ),SE0000163628,"0,6",2022-05-13,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,"0,93",2022-05-13,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget SKF,SE0000108227,"0,61",2022-05-13,
 Millennium Capital Partners LLP ,Billerud Aktiebolag (publ),SE0000862997,"0,53",2022-05-13,
AHL Partners LLP,Sinch AB (publ),SE0016101844,"0,71",2022-05-13,
AHL Partners LLP,Hexatronic Group AB,SE0002367797,"0,52",2022-05-13,
Voleon Capital Management LP,Inwido AB (publ),SE0006220018,"0,5",2022-05-13,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,57",2022-05-13,
Sandbar Asset Management LLP,Husqvarna AB,SE0001662230,"<0,5",2022-05-13,
Sandbar Asset Management LLP,"AUTOLIV, INC.",SE0000382335,"1,06",2022-05-13,
Sandbar Asset Management LLP,Aktiebolaget SKF,SE0000108227,"1,11",2022-05-13,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"1,25",2022-05-13,
Citadel Advisors LLC,Nobia AB,SE0000949331,"<0,5",2022-05-13,
Citadel Advisors LLC,Bulten AB,SE0003849223,"<0,5",2022-05-13,
AKO Capital LLP,Aktiebolaget Electrolux,SE0016589188,"1,49",2022-05-13,
Arrowstreet Capital Limited Partnership,BICO Group AB,SE0013647385,"0,5",2022-05-13,
Lansdowne Partners (UK) LLP,Hoist Finance AB (publ),SE0006887063,"<0,5",2022-05-12,
Capital Fund Management SA,Aktiebolaget Electrolux,SE0016589188,"0,52",2022-05-12,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,"1,01",2022-05-12,
JPMorgan Asset Management (UK) Ltd,Storytel AB (publ),SE0007439443,"<0,5",2022-05-12,
Marshall Wace LLP,KINDRED GROUP PLC,SE0007871645,"0,7",2022-05-12,
Marble Bar Asset Management LLP,Mips AB,SE0009216278,"0,59",2022-05-12,
WORLDQUANT LLC,Aktiebolaget Electrolux,SE0016589188,"0,52",2022-05-12,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Securitas AB,SE0000163594,"0,69",2022-05-12,
CapeView Capital LLP,BICO Group AB,SE0013647385,"0,77",2022-05-12,
 Millennium Capital Partners LLP ,Aktiebolaget SKF,SE0000108227,"0,57",2022-05-12,
 Millennium Capital Partners LLP ,Billerud Aktiebolag (publ),SE0000862997,"<0,5",2022-05-12,
Kuvari Partners LLP,Storskogen Group AB (publ),SE0016797732,"1,02",2022-05-12,
Wellington Management International Limited,Powercell Sweden AB (publ),SE0006425815,"0,65",2022-05-12,
Hound Partners LLC,Avanza Bank Holding AB,SE0012454072,"0,87",2022-05-12,
Hound Partners LLC,Thule Group AB,SE0006422390,"0,6",2022-05-12,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"1,33",2022-05-12,
BlackRock Investment Management (UK) Limited,Sinch AB (publ),SE0016101844,"1,09",2022-05-12,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,63",2022-05-12,
Sandbar Asset Management LLP,Husqvarna AB,SE0001662230,"0,51",2022-05-12,
Sandbar Asset Management LLP,"AUTOLIV, INC.",SE0000382335,"1,1",2022-05-12,
Sandbar Asset Management LLP,Skanska AB,SE0000113250,"<0,5",2022-05-12,
Sandbar Asset Management LLP,Aktiebolaget SKF,SE0000108227,"1,07",2022-05-12,
Citadel Advisors LLC,Aktiebolaget SKF,SE0000108227,"0,64",2022-05-12,
Gladstone Capital Management LLP,Sinch AB (publ),SE0016101844,"0,6",2022-05-12,
Arrowstreet Capital Limited Partnership,Sinch AB (publ),SE0016101844,"0,73",2022-05-12,
JPMorgan Asset Management (UK) Ltd,CATENA MEDIA P.L.C,MT0001000109,"0,59",2022-05-11,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,"1,28",2022-05-11,
Lansdowne Partners (UK) LLP,Hoist Finance AB (publ),SE0006887063,"0,55",2022-05-11,
WORLDQUANT LLC,Aktiebolaget Electrolux,SE0016589188,"<0,5",2022-05-11,
EMINENCE CAPITAL LP,Mips AB,SE0009216278,"0,71",2022-05-11,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Securitas AB,SE0000163594,"0,7",2022-05-11,
Voleon Capital Management LP,Loomis AB,SE0014504817,"0,51",2022-05-11,
 Millennium Capital Partners LLP ,Billerud Aktiebolag (publ),SE0000862997,"0,51",2022-05-11,
Voleon Capital Management LP,Betsson AB,SE0015672282,"0,92",2022-05-11,
CapeView Capital LLP,BICO Group AB,SE0013647385,"0,92",2022-05-11,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,78",2022-05-11,
Systematica Investments Limited,JM AB,SE0000806994,"0,6",2022-05-11,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"1,26",2022-05-11,
Citadel Advisors Europe Limited,SSAB AB,SE0000120669,"1,22",2022-05-11,
Hound Partners LLC,Avanza Bank Holding AB,SE0012454072,"0,79",2022-05-11,
Sandbar Asset Management LLP,"AUTOLIV, INC.",SE0000382335,"1,28",2022-05-11,
Citadel Advisors LLC,Avanza Bank Holding AB,SE0012454072,"0,6",2022-05-11,
Citadel Advisors LLC,Tobii AB,SE0002591420,"0,58",2022-05-11,
Carmignac Gestion,Thule Group AB,SE0006422390,"0,51",2022-05-11,
PARK WEST ASSET MANAGEMENT LLC,Embracer Group AB,SE0016828511,"0,51",2022-05-10,
Point72 Europe (London) LLP,Sinch AB (publ),SE0016101844,"<0,5",2022-05-10,
WORLDQUANT LLC,Ratos AB,SE0000111940,"<0,5",2022-05-10,
Voleon Capital Management LP,CATENA MEDIA P.L.C,MT0001000109,"0,93",2022-05-10,
Capital Fund Management SA,KINDRED GROUP PLC,SE0007871645,"0,5",2022-05-10,
 Millennium Capital Partners LLP ,SSAB AB,SE0000120669,"<0,5",2022-05-10,
 Millennium Capital Partners LLP ,Billerud Aktiebolag (publ),SE0000862997,"<0,5",2022-05-10,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,68",2022-05-10,
Jane Street Group LLC,Securitas AB,SE0000163594,"0,7",2022-05-10,
Hound Partners LLC,Avanza Bank Holding AB,SE0012454072,"0,5",2022-05-10,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,8",2022-05-10,
Sandbar Asset Management LLP,Husqvarna AB,SE0001662230,"0,67",2022-05-10,
Sandbar Asset Management LLP,Dometic Group AB (publ),SE0007691613,"<0,5",2022-05-10,
PDT Partners LLC,BICO Group AB,SE0013647385,"0,51",2022-05-10,
Arrowstreet Capital Limited Partnership,Sinch AB (publ),SE0016101844,"0,61",2022-05-10,
Arrowstreet Capital Limited Partnership,Powercell Sweden AB (publ),SE0006425815,"0,61",2022-05-10,
Point72 Europe (London) LLP,Sinch AB (publ),SE0016101844,"0,69",2022-05-09,
Lansdowne Partners (UK) LLP,Hoist Finance AB (publ),SE0006887063,"0,68",2022-05-09,
Marble Bar Asset Management LLP,Mips AB,SE0009216278,"0,64",2022-05-09,
WORLDQUANT LLC,Ratos AB,SE0000111940,"0,5",2022-05-09,
WORLDQUANT LLC,Clas Ohlson Aktiebolag,SE0000584948,"<0,5",2022-05-09,
Franklin Templeton Investment Management Limited,Re:NewCell AB,SE0014960431,"1,5",2022-05-09,
JPMorgan Asset Management (UK) Ltd,Storytel AB (publ),SE0007439443,"0,59",2022-05-09,
Marshall Wace LLP,Trelleborg AB,SE0000114837,"0,81",2022-05-09,
Marshall Wace LLP,Skanska AB,SE0000113250,"0,54",2022-05-09,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Billerud Aktiebolag (publ),SE0000862997,"<0,5",2022-05-09,
Marshall Wace LLP,Modern Times Group MTG AB,SE0000412371,"0,7",2022-05-09,
 Millennium Capital Partners LLP ,SSAB AB,SE0000120669,"0,51",2022-05-09,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,7",2022-05-09,
AHL Partners LLP,Sinch AB (publ),SE0016101844,"0,62",2022-05-09,
Jane Street Group LLC,Securitas AB,SE0000163594,"0,68",2022-05-09,
Voleon Capital Management LP,Betsson AB,SE0015672282,"0,82",2022-05-09,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"1,12",2022-05-09,
Sandbar Asset Management LLP,"AUTOLIV, INC.",SE0000382335,"1,38",2022-05-09,
Sandbar Asset Management LLP,Skanska AB,SE0000113250,"0,5",2022-05-09,
Sandbar Asset Management LLP,Aktiebolaget SKF,SE0000108227,"1,15",2022-05-09,
AKO Capital LLP,Sinch AB (publ),SE0016101844,"<0,5",2022-05-09,
Citadel Advisors LLC,Securitas AB,SE0000163594,"0,69",2022-05-09,
Citadel Advisors LLC,Aktiebolaget SKF,SE0000108227,"0,52",2022-05-09,
Citadel Advisors LLC,Fingerprint Cards AB,SE0008374250,"<0,5",2022-05-09,
Gladstone Capital Management LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,54",2022-05-09,
Arrowstreet Capital Limited Partnership,Stillfront Group AB (publ),SE0015346135,"0,59",2022-05-09,
Tenzing Global Management LLC,Mips AB,SE0009216278,"0,91",2022-05-09,
Mirabella Financial Services LLP,Securitas AB,SE0000163594,"0,63",2022-05-06,
Franklin Templeton Investment Management Limited,Re:NewCell AB,SE0014960431,"1,44",2022-05-06,
Marble Bar Asset Management LLP,Mips AB,SE0009216278,"0,52",2022-05-06,
Franklin Templeton Investment Management Limited,BICO Group AB,SE0013647385,"0,76",2022-05-06,
Qube Research & Technologies Limited,KINDRED GROUP PLC,SE0007871645,"0,58",2022-05-06,
Marshall Wace LLP,KINDRED GROUP PLC,SE0007871645,"0,61",2022-05-06,
Marshall Wace LLP,BHG Group AB,SE0010948588,"1,21",2022-05-06,
BlackRock Investment Management (UK) Limited,Elekta AB (publ),SE0000163628,"0,55",2022-05-06,
Pictet Asset Management Limited,Betsson AB,SE0015672282,"<0,5",2022-05-06,
WORLDQUANT LLC,Aktiebolaget Electrolux,SE0016589188,"0,51",2022-05-06,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Billerud Aktiebolag (publ),SE0000862997,"0,51",2022-05-06,
AHL Partners LLP,Stillfront Group AB (publ),SE0015346135,"0,92",2022-05-06,
Sandbar Asset Management LLP,Dometic Group AB (publ),SE0007691613,"0,51",2022-05-06,
Sandbar Asset Management LLP,Husqvarna AB,SE0001662230,"0,83",2022-05-06,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"1,02",2022-05-06,
Kuvari Partners LLP,Storskogen Group AB (publ),SE0016797732,"0,97",2022-05-06,
Citadel Advisors LLC,Securitas AB,SE0000163594,"0,73",2022-05-06,
Citadel Advisors LLC,Avanza Bank Holding AB,SE0012454072,"0,59",2022-05-06,
Citadel Advisors LLC,Nobia AB,SE0000949331,"0,55",2022-05-06,
Citadel Advisors LLC,Tobii AB,SE0002591420,"0,61",2022-05-06,
Citadel Advisors LLC,Bulten AB,SE0003849223,"0,5",2022-05-06,
AKO Capital LLP,Mips AB,SE0009216278,"0,79",2022-05-06,
Arrowstreet Capital Limited Partnership,Stillfront Group AB (publ),SE0015346135,"0,68",2022-05-06,
Capital Fund Management SA,BICO Group AB,SE0013647385,"0,75",2022-05-05,
Lansdowne Partners (UK) LLP,Hoist Finance AB (publ),SE0006887063,"0,83",2022-05-05,
Marshall Wace LLP,Husqvarna AB,SE0001662230,"0,79",2022-05-05,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,68",2022-05-05,
Marshall Wace LLP,BHG Group AB,SE0010948588,"1,14",2022-05-05,
Voleon Capital Management LP,Mips AB,SE0009216278,"0,69",2022-05-05,
Qube Research & Technologies Limited,KINDRED GROUP PLC,SE0007871645,"0,61",2022-05-05,
Voleon Capital Management LP,Betsson AB,SE0015672282,"0,7",2022-05-05,
THUNDERBIRD PARTNERS LLP,Thule Group AB,SE0006422390,"0,76",2022-05-05,
THUNDERBIRD PARTNERS LLP,Mips AB,SE0009216278,"0,89",2022-05-05,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Securitas AB,SE0000163594,"0,64",2022-05-05,
 Millennium Capital Partners LLP ,SSAB AB,SE0000120669,"0,67",2022-05-05,
 Millennium Capital Partners LLP ,Billerud Aktiebolag (publ),SE0000862997,"0,65",2022-05-05,
Citadel Advisors LLC,SAS AB,SE0003366871,"0,98",2022-05-05,
Citadel Advisors LLC,Securitas AB,SE0000163594,"0,69",2022-05-05,
Citadel Advisors LLC,Avanza Bank Holding AB,SE0012454072,"0,62",2022-05-05,
Citadel Advisors LLC,SSAB AB,SE0000120669,"0,5",2022-05-05,
