Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,0.91,01/03/2024
POINT72 EUROPE (LONDON) LLP,MANDATUM OYJ,FI4000552526,0.52,01/02/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.63,01/02/2024
MARSHALL WACE LLP,TIETOEVRY OYJ,FI0009000277,0.5,12/29/2023
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,1.11,12/29/2023
MARSHALL WACE LLP,QT GROUP OYJ,FI4000198031,0.58,12/29/2023
"POINT72 ASSET MANAGEMENT, L.P.",MANDATUM OYJ,FI4000552526,0.49,12/29/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.58,12/28/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.6,12/27/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.56,12/22/2023
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,1.2,12/22/2023
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,1.33,12/20/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.69,12/19/2023
CANADA PENSION PLAN INVESTMENT BOARD,VALMET OYJ,FI4000074984,0.5,12/19/2023
MARSHALL WACE LLP,QT GROUP OYJ,FI4000198031,0.61,12/18/2023
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.46,12/15/2023
MARSHALL WACE LLP,STORA ENSO OYJ,FI0009005961,0.47,12/15/2023
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,1.1,12/15/2023
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,0.89,12/14/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.46,12/13/2023
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,1.09,12/12/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.79,12/12/2023
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,1.16,12/12/2023
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,1.09,12/11/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.56,12/11/2023
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,1.05,12/11/2023
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,1.1,12/11/2023
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.58,12/11/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.62,12/08/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.2,12/08/2023
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,1.08,12/08/2023
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.68,12/07/2023
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.99,12/05/2023
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,QT GROUP OYJ,FI4000198031,0.43,12/05/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.88,12/05/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.17,12/04/2023
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.8,12/04/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.91,12/04/2023
MARSHALL WACE LLP,QT GROUP OYJ,FI4000198031,0.5,12/01/2023
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,0.93,11/30/2023
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,1.12,11/30/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.23,11/30/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,AKTIA BANK ABP,FI4000058870,0.0,11/30/2023
CAPEVIEW CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.48,11/30/2023
CITADEL ADVISORS EUROPE LIMITED,UPM-KYMMENE OYJ,FI0009005987,0.44,11/30/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,INCAP OYJ,FI0009006407,0.0,11/30/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.82,11/30/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.85,11/30/2023
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.81,11/29/2023
CITADEL ADVISORS EUROPE LIMITED,UPM-KYMMENE OYJ,FI0009005987,0.52,11/29/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,AKTIA BANK ABP,FI4000058870,0.53,11/29/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,INCAP OYJ,FI0009006407,0.52,11/28/2023
MARSHALL WACE LLP,WÄRTSILÄ OYJ ABP,FI0009003727,0.51,11/28/2023
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,0.85,11/28/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.03,11/27/2023
AKO CAPITAL LLP,VALMET OYJ,FI4000074984,1.6,11/24/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.71,11/24/2023
POINT72 EUROPE (LONDON) LLP,MANDATUM OYJ,FI4000552526,0.4,11/24/2023
ELEVA CAPITAL SAS,KEMPOWER OYJ,FI4000513593,0.52,11/24/2023
MILLENNIUM CAPITAL PARTNERS LLP,FINNAIR OYJ,FI0009003230,0.1,11/24/2023
SEGANTII CAPITAL MANAGEMENT (UK) LIMITED,FINNAIR OYJ,FI0009003230,0.1,11/24/2023
SEGANTII CAPITAL MANAGEMENT (UK) LIMITED,FINNAIR OYJ,FI0009003230,1.03,11/23/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.69,11/23/2023
MILLENNIUM CAPITAL PARTNERS LLP,FINNAIR OYJ,FI0009003230,2.15,11/23/2023
AKO CAPITAL LLP,VALMET OYJ,FI4000074984,1.53,11/22/2023
MILLENNIUM CAPITAL PARTNERS LLP,FINNAIR OYJ,FI0009003230,2.01,11/22/2023
MARSHALL WACE LLP,STORA ENSO OYJ,FI0009005961,0.5,11/21/2023
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,0.98,11/21/2023
CITADEL ADVISORS EUROPE LIMITED,UPM-KYMMENE OYJ,FI0009005987,0.49,11/21/2023
MILLENNIUM CAPITAL PARTNERS LLP,FINNAIR OYJ,FI0009003230,1.99,11/21/2023
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,1.1,11/21/2023
POINT72 EUROPE (LONDON) LLP,MANDATUM OYJ,FI4000552526,0.5,11/20/2023
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,QT GROUP OYJ,FI4000198031,0.55,11/20/2023
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,1.0,11/20/2023
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.7,11/20/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.95,11/17/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.72,11/16/2023
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.94,11/16/2023
"POINT72 ASSET MANAGEMENT, L.P.",MANDATUM OYJ,FI4000552526,0.59,11/16/2023
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.78,11/15/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.69,11/14/2023
MILLENNIUM CAPITAL PARTNERS LLP,FINNAIR OYJ,FI0009003230,1.72,11/13/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.7,11/13/2023
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.81,11/13/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.01,11/10/2023
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.63,11/10/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,2.94,11/09/2023
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.73,11/09/2023
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.55,11/09/2023
HELIKON INVESTMENTS LIMITED,KEMPOWER OYJ,FI4000513593,0.37,11/09/2023
MILLENNIUM CAPITAL PARTNERS LLP,FINNAIR OYJ,FI0009003230,1.62,11/08/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,2.89,11/08/2023
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.47,11/07/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,2.94,11/07/2023
"THE GOLDMAN SACHS GROUP, INC",MANDATUM OYJ,FI4000552526,0.47,11/06/2023
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.61,11/06/2023
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,QT GROUP OYJ,FI4000198031,0.45,11/06/2023
MILLENNIUM CAPITAL PARTNERS LLP,FINNAIR OYJ,FI0009003230,1.56,11/06/2023
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,1.01,11/06/2023
"THE GOLDMAN SACHS GROUP, INC",MANDATUM OYJ,FI4000552526,0.5,11/03/2023
MILLENNIUM CAPITAL PARTNERS LLP,FINNAIR OYJ,FI0009003230,1.48,11/03/2023
MILLENNIUM CAPITAL PARTNERS LLP,FINNAIR OYJ,FI0009003230,1.17,11/02/2023
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.53,11/02/2023
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.53,11/02/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.03,11/02/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.67,11/01/2023
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,1.02,11/01/2023
MILLENNIUM CAPITAL PARTNERS LLP,FINNAIR OYJ,FI0009003230,1.05,11/01/2023
MILLENNIUM CAPITAL PARTNERS LLP,FINNAIR OYJ,FI0009003230,0.92,10/31/2023
MILLENNIUM CAPITAL PARTNERS LLP,FINNAIR OYJ,FI0009003230,0.86,10/30/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.91,10/30/2023
AKO CAPITAL LLP,HUHTAMÄKI OYJ,FI0009000459,0.79,10/30/2023
MILLENNIUM CAPITAL PARTNERS LLP,FINNAIR OYJ,FI0009003230,0.68,10/27/2023
CAPEVIEW CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.54,10/27/2023
CAPEVIEW CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.49,10/26/2023
HELIKON INVESTMENTS LIMITED,KEMPOWER OYJ,FI4000513593,0.58,10/26/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.74,10/26/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.84,10/25/2023
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.91,10/25/2023
MILLENNIUM CAPITAL PARTNERS LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.32,10/25/2023
