Position Holder,Company,ISIN,Position (%),Date
Marshall Wace LLP,HelloFresh SE,DE000A161408,3.22,2025-04-29
"Arrowstreet Capital, Limited Partnership",X4 Pharmaceuticals Inc,US98420X2027,2.07,2025-04-29
Boldhaven Management LLP,Nagarro SE,DE000A3H2200,0.59,2025-04-28
Citadel Advisors LLC,SGL Carbon SE,DE0007235301,0.69,2025-04-25
Millennium Capital Management (DIFC) Limited,K+S Aktiengesellschaft,DE000KSAG888,1.2,2025-04-25
Canada Pension Plan Investment Board,BT GROUP PLC,GB0030913577,0.57,2025-04-25
BlackRock Investment Management (UK) Limited,LANXESS Aktiengesellschaft,DE0005470405,3.02,2025-04-24
"Arrowstreet Capital, Limited Partnership",Seres Therapeutics Inc,US81750R2013,2.08,2025-04-24
JPMorgan Asset Management (UK) Ltd,LANXESS Aktiengesellschaft,DE0005470405,0.6,2025-04-23
"D. E. Shaw & Co., L.P.",SGL Carbon SE,DE0007235301,0.59,2025-04-23
Marble Bar Asset Management LLP,SUSS MicroTec SE,DE000A1K0235,1.14,2025-04-23
AHL Partners LLP,Redcare Pharmacy N.V.,NL0012044747,0.59,2025-04-23
Bronte Capital Management Pty Ltd,KULR Technology Group Inc,US50125G1094,0.6,2025-04-23
Pardinus Capital LLP,Knaus Tabbert AG,DE000A2YN504,0.81,2025-04-22
"Arrowstreet Capital, Limited Partnership",ATAI Life Sciences NV,NL0015000DX5,1.49,2025-04-22
Mangrove Partners,Iperionx Ltd,AU0000208910,1.06,2025-04-17
Qube Research & Technologies Limited,Schaeffler AG,DE000SHA0019,0.51,2025-04-17
JPMorgan Asset Management (UK) Ltd,Siltronic AG,DE000WAF3001,1.6,2025-04-16
Walleye Capital LLC,Riskified Ltd,IL0011786493,0.59,2025-04-16
"Bridgewater Associates, LP",Aurubis AG,DE0006766504,0.52,2025-04-14
JPMorgan Asset Management (UK) Ltd,Northern Data AG,DE000A0SMU87,0.5,2025-04-14
Polus Capital Management Limited,TriplePoint Venture Growth BDC Corp.,US89677Y1001,1.21,2025-04-14
JPMorgan Asset Management (UK) Ltd,Hypoport SE,DE0005493365,2.79,2025-04-10
Ilex Capital Partners (UK) LLP,Symrise AG,DE000SYM9999,1.23,2025-04-10
LMR Partners LLP,TUI AG,DE000TUAG505,0.5,2025-04-10
LINDEN ADVISORS LP,Redcare Pharmacy N.V.,NL0012044747,0.68,2025-04-10
Caius Capital LLP,Deutsche Pfandbriefbank AG,DE0008019001,1.01,2025-04-09
Capital Fund Management SA,TAG Immobilien AG,DE0008303504,0.6,2025-04-09
"Arrowstreet Capital, Limited Partnership",Organigram Global Inc,CA68617J1003,1.64,2025-04-08
"Connor, Clark & Lunn Investment Management Ltd.",OrganiGram Holdings Inc,CA68617J1003,0.6,2025-04-04
Numeric Investors LLC,Fraport AG Frankfurt Airport Services Worldwide,DE0005773303,0.5,2025-04-04
Eleva Capital,HUGO BOSS AG,DE000A1PHFF7,0.55,2025-04-03
Helikon Investments Limited,BRANICKS Group AG,DE000A1X3XX4,4.61,2025-04-03
Qube Research & Technologies Limited,ATAI Life Sciences N.V.,NL0015000DX5,0.5,2025-04-02
Citadel Advisors LLC,GEA Group Aktiengesellschaft,DE0006602006,0.51,2025-04-01
Acadian Asset Management LLC,REDCARE PHARMACY NV,NL0012044747,0.59,2025-04-01
SFM UK Management LLP,B. Riley Financial Inc.,US05580M1080,0.62,2025-04-01
"Arrowstreet Capital, Limited Partnership",Workhorse Group Inc,US98138J4040,1.18,2025-04-01
Boldhaven Management LLP,KONTRON AG,AT0000A0E9W5,0.86,2025-03-31
"AQR Capital Management, LLC",Brenntag SE,DE000A1DAHH0,0.5,2025-03-26
"Arrowstreet Capital, Limited Partnership",Isoenergy Ltd,CA46500E8678,0.56,2025-03-25
BlackRock Investment Management (UK) Limited,Continental Aktiengesellschaft,DE0005439004,0.6,2025-03-25
"Arrowstreet Capital, Limited Partnership",Lithium Argentina AG,CH1403212751,1.97,2025-03-24
"PDT Partners, LLC",Evotec SE,DE0005664809,0.59,2025-03-21
BlackRock Investment Management (UK) Limited,HelloFresh SE,DE000A161408,2.09,2025-03-21
Kintbury Capital LLP,Bechtle Aktiengesellschaft,DE0005158703,0.59,2025-03-20
"Capstone Investment Advisors, LLC",Deutsche Beteiligungs AG,DE000A1TNUT7,0.51,2025-03-20
Helikon Investments Limited,PNE AG,DE000A0JBPG2,3.52,2025-03-14
AHL Partners LLP,Gerresheimer AG,DE000A0LD6E6,0.69,2025-03-05
GSA Capital Partners LLP,Knaus Tabbert AG,DE000A2YN504,0.6,2025-03-04
Bronte Capital Management Pty Ltd,NeoVolta Inc,US6406551068,0.62,2025-02-24
"Arrowstreet Capital, Limited Partnership",Hydrofarm Holdings Group Inc,US44888K4076,0.72,2025-02-14
"Arrowstreet Capital, Limited Partnership",Hypoport SE,DE0005493365,0.6,2025-02-11
Premier Miton Group plc,Domino's Pizza Group PLC,GB00BYN59130,0.71,2025-02-10
"Arrowstreet Capital, Limited Partnership",Bluebird Bio Inc,US09609G2093,0.64,2025-02-05
"Arrowstreet Capital, Limited Partnership",Skye Bioscience Inc,US83086J2006,0.79,2025-02-03
Quadrature Capital Limited,Lithium Argentina AG,CH1403212751,0.54,2025-01-31
"Arrowstreet Capital, Limited Partnership",Bionano Genomics Inc,US09075F4046,2.73,2025-01-28
"Arrowstreet Capital, Limited Partnership",Recursion Pharmaceuticals Inc,US75629V1044,2.43,2025-01-16
"Wellington Management Company, LLP",Deutsche Pfandbriefbank AG,DE0008019001,1.25,2025-01-06
"Centiva Capital, LP","LUMINAR TECHNOLOGIES, INC.",BRL2AZBDR005,0.52,2025-01-03
"Arrowstreet Capital, Limited Partnership",Optinose Inc,US68404V2097,0.62,2025-01-03
"Arrowstreet Capital, Limited Partnership",Citius Pharmaceuticals Inc,US17322U3068,0.56,2024-12-27
"Arrowstreet Capital, Limited Partnership",Aptiv Irish Holdings Ltd,JE00BTDN8H13,1.13,2024-12-19
Vor Capital LLP,ProSiebenSat.1 Media SE,DE000PSM7770,0.66,2024-12-18
"Arrowstreet Capital, Limited Partnership",Evotec SE,DE0005664809,1.19,2024-12-12
"Arrowstreet Capital, Limited Partnership",Fluence Energy Inc,US34379V1035,1.03,2024-12-12
Mirabella Financial Services LLP,Siemens Energy AG,DE000ENER6Y0,1.1,2024-12-10
"Arrowstreet Capital, Limited Partnership",Nomura Micro Science Co Ltd,JP3762950008,4.1,2024-12-09
Quadrature Capital Limited,Yamashin-Filter Corp,JP3936600000,0.94,2024-12-09
"Arrowstreet Capital, Limited Partnership",Applied Digital Corp,US0381692070,3.11,2024-12-09
"Arrowstreet Capital, Limited Partnership",Super Micro Computer Inc,US86800U3023,2.17,2024-12-09
"Arrowstreet Capital, Limited Partnership",Lotus Resources Ltd,AU0000058737,0.51,2024-12-06
"Arrowstreet Capital, Limited Partnership",Cybin Inc,CA23256X4075,0.8,2024-12-05
Ennismore Fund Management Limited,BayWa Aktiengesellschaft,DE0005194062,0.54,2024-12-05
Squarepoint Ops LLC,Biora Therapeutics Inc,US74319F4046,0.89,2024-12-05
