Position Holder:,Name of the Issuer:,ISIN:,Net short position %:,Position Date:
PSquared Asset Management AG,Smurfit Kappa Group PLC,IE00B1RR8406,0.80%,2024-03-04
"D. E. Shaw & Co. (London), LLP",Smurfit Kappa Group PLC,IE00B1RR8406,0.70%,2024-02-29
Kryger Capital Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.80%,2024-02-28
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.70%,2024-02-26
HBK Investments LP,Smurfit Kappa Group PLC,IE00B1RR8406,1.00%,2024-02-26
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,2.90%,2024-02-26
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.65%,2024-02-23
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.69%,2024-02-23
Kryger Capital Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.78%,2024-02-23
Magnetar Capital Partners LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.89%,2024-02-23
UBS O'Connor LLC,Smurfit Kappa Group PLC,IE00B1RR8406,1.21%,2024-02-23
GLG Partners LP,Kerry Group PLC,IE0004906560,0.61%,2024-02-22
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.72%,2024-02-20
GLG Partners LP,Kerry Group PLC,IE0004906560,0.52%,2024-02-16
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.63%,2024-02-16
PSquared Asset Management AG,Smurfit Kappa Group PLC,IE00B1RR8406,0.70%,2024-02-16
PSquared Asset Management AG,Smurfit Kappa Group PLC,IE00B1RR8406,0.63%,2024-02-15
Marshall Wace LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.50%,2024-02-13
"D. E. Shaw & Co. (London), LLP",Smurfit Kappa Group PLC,IE00B1RR8406,0.60%,2024-02-13
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.59%,2024-02-12
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.61%,2024-02-09
Kryger Capital Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.64%,2024-02-08
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.73%,2024-02-08
Magnetar Capital Partners LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.90%,2024-02-08
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.55%,2024-02-07
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.62%,2024-02-07
UBS O'Connor LLC,Smurfit Kappa Group PLC,IE00B1RR8406,1.11%,2024-02-07
"D. E. Shaw & Co. (London), LLP",Smurfit Kappa Group PLC,IE00B1RR8406,0.52%,2024-02-06
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,2.81%,2024-02-02
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.46%,2024-02-01
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.56%,2024-01-30
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.56%,2024-01-29
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,2.73%,2024-01-29
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.00%,2024-01-26
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,2.66%,2024-01-26
HBK Investments LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.92%,2024-01-25
UBS O'Connor LLC,Smurfit Kappa Group PLC,IE00B1RR8406,1.02%,2024-01-24
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,2.51%,2024-01-24
Magnetar Capital Partners LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.89%,2024-01-23
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,2.43%,2024-01-23
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,2.33%,2024-01-19
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.50%,2024-01-18
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.69%,2024-01-18
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.72%,2024-01-17
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,1.10%,2024-01-17
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.68%,2024-01-12
UBS O'Connor LLC,Smurfit Kappa Group PLC,IE00B1RR8406,0.90%,2024-01-09
HBK Investments LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.81%,2024-01-08
Alpine Associates Management Inc,Smurfit Kappa Group PLC,IE00B1RR8406,0.91%,2024-01-02
